id,country,wtp_access,wtp_private,wtp_amount_1,wtp_amount_2a,wtp_amount_2b,geq_taxes_0,geq_taxes_1,geq_taxes_2a,geq_taxes_2b,geq_ticket_0,geq_ticket_1,geq_ticket_2a,geq_ticket_2b,wtpVal,taxesExtra,ticketExtra,WTP_R1,WTP_R2_aux,geq_taxes_R1,geq_taxes_R2_aux,geq_ticket_R1,geq_ticket_R2_aux,WTP_R2,geq_taxes_R2,geq_ticket_R2,WTP_BD1,WTP_BD2,geq_taxes_BD1,geq_taxes_BD2,geq_ticket_BD1,geq_ticket_BD2
2,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,Yes,Yes,NA,Yes,Yes,No,NA,575,30,30,0,No,1,Yes,1,No,0,1,0,575,287.5,30,60,30,60
3,UK,Vaccines only made available by government at low or no cost,Yes,Yes,DK,NA,Yes,Yes,Yes,NA,DK,NA,NA,NA,30,5,NA,1,DK,1,Yes,NA,NA,NA,1,NA,30,60,5,10,NA,NA
4,UK,Vaccines only made available by government at low or no cost,Yes,Yes,No,NA,Yes,Yes,Yes,NA,Yes,No,NA,Yes,60,30,115,1,No,1,Yes,0,Yes,0,1,1,60,120,30,60,115,57.5
5,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,No,NA,DK,NA,NA,NA,No,NA,NA,NA,60,NA,NA,1,No,NA,NA,NA,NA,0,NA,NA,60,120,NA,NA,NA,NA
6,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,DK,NA,NA,NA,NA,60,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,60,120,NA,NA
7,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,290,115,NA,NA,1,Yes,1,Yes,NA,1,1,NA,NA,290,580,115,230
8,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,No,NA,No,Yes,Yes,Yes,NA,NA,575,10,NA,NA,0,No,1,Yes,NA,0,1,NA,NA,575,287.5,10,20
9,UK,Vaccines only made available by government at low or no cost,Yes,DK,NA,NA,No,NA,NA,NA,No,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA
10,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,DK,NA,NA,NA,No,NA,NA,NA,115,NA,NA,1,Yes,NA,NA,NA,NA,1,NA,NA,115,230,NA,NA,NA,NA
12,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,No,No,NA,NA,NA,No,NA,NA,NA,575,NA,NA,0,No,NA,NA,NA,NA,0,NA,NA,575,287.5,NA,NA,NA,NA
13,UK,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,No,NA,NA,NA,No,NA,NA,NA,115,NA,NA,1,Yes,NA,NA,NA,NA,1,NA,NA,115,230,NA,NA,NA,NA
14,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,Yes,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,Yes,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
15,UK,Vaccines made available by government but citizens can pay privately to gain access,Do not know,NA,NA,NA,Yes,No,NA,Yes,Yes,Yes,No,NA,NA,290,10,NA,NA,0,Yes,1,No,NA,1,0,NA,NA,290,145,10,20
16,UK,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,Yes,No,NA,No,NA,NA,NA,30,575,NA,1,Yes,1,No,NA,NA,1,0,NA,30,60,575,1150,NA,NA
17,UK,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,Yes,Yes,No,NA,Yes,Yes,No,NA,NA,290,10,NA,NA,1,No,1,No,NA,0,0,NA,NA,290,580,10,20
18,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,No,NA,DK,Yes,DK,NA,NA,NA,575,115,NA,NA,0,DK,NA,NA,NA,NA,NA,NA,NA,575,287.5,115,NA
